shopname,star,place,type,longitude,latitude
胜利河美食街,45.0,德胜路沿线,休闲街区,120.14939866784567,30.299840538781137
千岛湖梅峰岛景区,45.0,千岛湖风景区,自然风光,118.91631120712748,29.590580439912944
西天目山风景区,50.0,天目山景区,自然风光,119.43519640919398,30.332814332716723
浙江自然博物院(杭州馆),50.0,西湖文化广场,博物馆,120.15996227876606,30.27932789551076
花港公园,50.0,龙井/虎跑,园林,120.13545427735156,30.233009736004178
天目大峡谷,40.0,天目山景区,自然风光,119.47258342238872,30.36833683537762
白云源风景区,50.0,富春江景区,自然风光,119.71883284178668,29.70793048902292
垂云通天河,50.0,桐庐县,自然风光,119.52829057514798,29.92808383301108
千岛湖文渊狮城度假区(水下古城),35.0,千岛湖水下古城,主题乐园,118.66412281589194,29.47411246828953
中国茶叶博物馆(双峰馆区),50.0,龙井/虎跑,博物馆,120.11599126991588,30.23445893228777
杭州博物馆,50.0,吴山广场/河坊街,博物馆,120.16153412634236,30.24136306808129
千岛湖东南湖区,50.0,珍珠半岛,自然风光,119.07092155310296,29.58769757300487
钱塘江,50.0,开发区/高教园,自然风光,120.24308145040952,30.276037951354564
十里琅珰,50.0,龙井/虎跑,自然风光,120.10183283737956,30.22041679436371
三台云水,45.0,龙井/虎跑,公园/广场,120.12992960335882,30.23233092474971
千岛湖森林氧吧,45.0,千岛湖森林氧吧,自然风光,119.21309085337198,29.58966901336313
林彪行宫,50.0,龙井/虎跑,革命旧址,120.12043704207112,30.23533524524173
浙江美术馆,50.0,南山路/柳浪闻莺/美术学院,美术馆,120.15221736081976,30.233352527740266
龙鳞坝,50.0,富阳区,海滨沙滩,119.94353546514849,29.81227355455181
中国丝绸博物馆,50.0,雷峰塔,博物馆,120.14663809708988,30.22521226307621
瑶琳仙境,50.0,桐庐县,自然风光,119.5334380489068,29.88907919706273
梅城古镇,50.0,梅城镇,古村古镇,119.49925857526134,29.54341929512935
灵隐寺,50.0,灵隐/白乐桥,宗教,120.09657384993928,30.243124975439247
良渚古城遗址公园,50.0,良渚,古代遗迹,119.9865476608299,30.393092367361305
千岛湖天迹热气球俱乐部,45.0,千岛湖风景区,高空观景,119.1294913031629,29.62634909298221
