hour,A,C,D,E
0,1514,818,580,313
1,1130,493,373,211
2,794,293,255,133
3,545,201,171,85
4,407,231,165,89
5,486,188,139,76
6,575,356,201,159
7,939,451,307,247
8,1477,677,478,443
9,2048,931,625,646
10,2837,1185,837,820
11,3477,1330,987,1017
12,3988,1431,1128,993
13,4424,1486,1239,1085
14,4822,1620,1365,1134
15,4835,1667,1457,1114
16,4823,1558,1418,1155
17,4858,1642,1448,1117
18,4291,1532,1326,978
19,4091,1545,1238,926
20,3998,1614,1329,930
21,4613,1710,1315,1186
22,2918,1075,968,987
23,1753,776,612,501
