shopname,star,place,type,longitude,latitude
胜利河美食街,45,德胜路沿线,休闲街区,120.1493987,30.29984054
千岛湖梅峰岛景区,45,千岛湖风景区,自然风光,118.9163112,29.59058044
西天目山风景区,50,天目山景区,自然风光,119.4351964,30.33281433
浙江自然博物院(杭州馆),50,西湖文化广场,博物馆,120.1599623,30.2793279
花港公园,50,龙井/虎跑,园林,120.1354543,30.23300974
天目大峡谷,40,天目山景区,自然风光,119.4725834,30.36833684
白云源风景区,50,富春江景区,自然风光,119.7188328,29.70793049
垂云通天河,50,桐庐县,自然风光,119.5282906,29.92808383
千岛湖文渊狮城度假区(水下古城),35,千岛湖水下古城,主题乐园,118.6641228,29.47411247
中国茶叶博物馆(双峰馆区),50,龙井/虎跑,博物馆,120.1159913,30.23445893
杭州博物馆,50,吴山广场/河坊街,博物馆,120.1615341,30.24136307
千岛湖东南湖区,50,珍珠半岛,自然风光,119.0709216,29.58769757
钱塘江,50,开发区/高教园,自然风光,120.2430815,30.27603795
十里琅珰,50,龙井/虎跑,自然风光,120.1018328,30.22041679
三台云水,45,龙井/虎跑,公园/广场,120.1299296,30.23233092
千岛湖森林氧吧,45,千岛湖森林氧吧,自然风光,119.2130909,29.58966901
林彪行宫,50,龙井/虎跑,革命旧址,120.120437,30.23533525
浙江美术馆,50,南山路/柳浪闻莺/美术学院,美术馆,120.1522174,30.23335253
龙鳞坝,50,富阳区,海滨沙滩,119.9435355,29.81227355
中国丝绸博物馆,50,雷峰塔,博物馆,120.1466381,30.22521226
瑶琳仙境,50,桐庐县,自然风光,119.533438,29.8890792
梅城古镇,50,梅城镇,古村古镇,119.4992586,29.5434193
灵隐寺,50,灵隐/白乐桥,宗教,120.0965738,30.24312498
良渚古城遗址公园,50,良渚,古代遗迹,119.9865477,30.39309237
千岛湖天迹热气球俱乐部,45,千岛湖风景区,高空观景,119.1294913,29.62634909
净慈寺,50,雷峰塔,宗教,120.1445658,30.23122035
杭州灵山景区,50,灵山风景区,更多景点/周边游,120.0358637,30.11896119
临安博物馆,50,临安区,博物馆,119.7254171,30.22798341
千岛湖,50,千岛湖风景区,自然风光,119.0205496,29.59008279
灵隐飞来峰景区,50,龙井/虎跑,自然风光,120.0968665,30.23939529
杭州上天竺法喜讲寺,50,灵隐/白乐桥,宗教,120.0911312,30.22921186
千岛湖天屿景区,50,阳光路,自然风光,119.0456806,29.63379806
胡雪岩旧居,50,吴山广场/河坊街,名人故居,120.1682313,30.23961176
千岛湖城中湖游船码头,45,千岛湖广场,城市观光,119.048764,29.60278821
千岛湖湖人皮划艇俱乐部,45,明珠花园,水上项目/水上体验,119.0539495,29.60733833
西湖音乐喷泉表演,50,平海路,更多景点/周边游,120.1560817,30.25608683
大明山自然探索公园,50,大明山风景区,自然风光,118.9903242,30.06828896
良渚文化村,50,良渚,美丽乡村,120.0241675,30.36706598
杭州植物园,50,西湖北线/黄龙,植物园,120.1138164,30.25546947
径山寺,50,余杭区,宗教,119.7602856,30.38225049
灵栖洞景区,50,建德市,自然风光,119.0859983,29.38071443
中国茶叶博物馆龙井馆区,50,龙井/虎跑,博物馆,120.1087567,30.22194415
千岛湖中心湖区,45,千岛湖风景区,自然风光,119.0009294,29.59908534
杭州动物园,50,龙井/虎跑,动物园,120.128192,30.21471871
岳王庙,50,西湖北线/黄龙,宗教,120.1296891,30.25470494
千岛湖水之灵,45,珍珠半岛,旅游项目/观光项目,119.1075402,29.59990116
浙江省科技馆,50,武林广场,科技馆,120.1603745,30.27885071
山沟沟景区,35,余杭区,自然风光,119.6980703,30.42518832
七里扬帆景区,45,梅城镇,自然风光,119.5397162,29.5490956
深澳古镇,50,桐庐县,古村古镇,119.8345185,29.85374417
青芝坞,45,西湖北线/黄龙,古村古镇,120.1166273,30.26038152
艺创小镇,45,转塘,休闲街区,120.0660928,30.15301794
吴山广场,50,吴山广场/河坊街,广场,120.1588321,30.24139804
雷峰塔景区,50,南山路/柳浪闻莺/美术学院,历史建筑,120.1442227,30.23328464
杭州宋城,50,宋城/之江文化中心,主题乐园,120.0940194,30.17198159
西溪国家湿地公园,50,西溪,自然风光,120.0601,30.26925745
西湖文化广场,50,西湖文化广场,广场,120.1591218,30.27920735
浙江省博物馆(孤山馆区),50,西湖北线/黄龙,博物馆,120.1391692,30.25360991
桐洲岛,50,新桐乡烟雨桐洲,自然风光,119.7980737,29.88648886
西湖风景名胜区(西湖),50,龙井/虎跑,自然风光,120.129573,30.22988161
杭州云曼温泉,35,湘湖,温泉,120.2417673,30.16582565
甘岭水库,45,余杭区,水利工程,119.8605689,30.31010182
云栖竹径,50,龙井/虎跑,自然风光,120.0848606,30.19282738
龙井村,50,龙井/虎跑,古村古镇,120.1006343,30.22118235
六和塔文化公园,50,龙井/虎跑,文化公园,120.1266457,30.19873558
新沙岛景区,40,新沙岛,自然风光,119.9745285,30.04749537
杭州运河游船(武林门码头),50,武林广场,城市观光,120.1606927,30.27667951
西湖游船,50,杨公堤,城市观光,120.1381627,30.25235044
