shopname,price,star,type,longitude,latitude
福缘居酒楼(河坊街店),￥106,40,浙菜,120.1719873,30.24140868
朴墅·传承杭帮菜(青芝坞店),￥102,40,浙菜,120.1189098,30.26006976
乔村二十八道(钱江世纪城店),￥155,45,创意菜,120.2499254,30.23656187
老雷家的菜(千岛湖店),￥83,40,私房菜,119.0345571,29.60866331
晌熏·欧巴年糕,￥76,45,韩国料理,120.3222978,30.31129726
肉本家·炭烤肉(杭州浙大总店),￥101,50,韩式烤肉,120.0876641,30.30906112
肉本家·炭烤肉(耀江文鼎国际店),￥100,50,韩式烤肉,120.0924842,30.30065639
碧桃小馆·民国宅院·团建聚餐(西湖大道店),￥149,45,创意菜,120.1610882,30.24859269
宝中宝食府(清泰街店),￥114,40,浙菜,120.1760115,30.24977755
Foamy Foamy(湖滨银泰店),￥46,40,甜品,120.1587968,30.25579786
新周記·巷子里的江南味·夜宵(鼓楼店),￥91,40,浙菜,120.1663025,30.23996211
方家厨房(玉皇山店),￥112,40,浙菜,120.1459756,30.20878309
JIREH7,￥74,45,韩国料理,120.0915498,30.2966879
西溪别院(西溪天堂店),￥131,50,私房菜,120.0842839,30.26771161
品回味清真西北菜(全球首店·西湖银泰景区店),￥86,45,新疆菜,120.1613361,30.2466993
新白鹿餐厅(银泰西湖文化广场店),￥65,40,浙菜,120.1584407,30.27984002
无名氏面馆(邮电路店),￥27,35,面馆,120.165194,30.25420094
桂语山房(满觉陇店),￥638,45,浙菜,120.1253388,30.22134173
知竹手工素面(天竺路店),￥56,40,素食,120.1012253,30.2413112
osteria pelecanus鹈鹕野餐,￥135,40,西餐,120.1650181,30.25864324
Foamy Foamy(国大城市广场店),￥51,40,甜品,120.1578095,30.27189662
临记老厨(文苑店),￥92,45,浙菜,120.09465,30.27784882
金猪,￥62,40,浙菜,120.1562806,30.26469846
韩国料理大力士(屏风街店),￥109,40,韩国料理,120.1646882,30.26939068
岚轩餐厅·杭帮菜(西湖店),￥85,40,浙菜,120.1127658,30.21791225
西湖国宾馆·紫薇厅,￥450,40,浙菜,120.1282623,30.2369464
澳骄 Aussie Kitchen(国大店),￥128,40,西餐,120.1581425,30.27200322
樨香(平安悦坊店),￥248,45,创意菜,120.208205,30.25409231
哥老官重庆美蛙鱼头(西湖银泰十一哥店),￥128,40,重庆火锅,120.160982,30.24692962
101茶餐厅,￥81,40,茶餐厅,120.1378328,30.31229686
秋粤台(江锦路店),￥265,45,粤菜馆,120.2082592,30.25343743
杭州酒家(延安路店),￥85,40,浙菜,120.1592844,30.2540629
初禾(河坊街店),￥120,45,私房菜,120.1665499,30.24395928
漢舍小馆(丽水路店),￥143,45,浙菜,120.1345305,30.30918626
mamala 西餐厅(杭州远洋乐堤港店),￥245,45,西餐,120.1359682,30.3083435
大力士(金沙印象城店),￥98,40,韩国料理,120.3316753,30.31065143
老头儿油爆虾(武林店),￥96,45,浙菜,120.1560896,30.27006363
里园·八角杯(三台云舍店),￥365,40,浙菜,120.128702,30.22900551
宴杭·江宴·精致杭帮菜(EAC欧美中心店),￥108,40,浙菜,120.1320551,30.27641426
文兴酒家·始于1990(钱江新城店),￥235,45,粤菜馆,120.2085799,30.2538278
新白鹿餐厅(湖滨银泰IN77C区店),￥71,45,浙菜,120.1600778,30.25324544
荣先森·福建小馆(杭州大悦城店),￥80,40,福建菜,120.1250632,30.30422013
素描餐厅·灵隐食堂,￥118,40,创意菜,120.1001753,30.23801411
庆春食堂·102道纯手工蔬食料理,￥98,50,特色菜,120.1889568,30.26027581
朋友圈·鲜鱼馆一线湖景餐厅,￥88,40,家常菜,119.0488838,29.6024151
Tony's House,￥58,40,印度菜,120.0775115,30.31285058
香芙茗茶楼(梅家坞店),￥126,45,农家菜,120.0829414,30.20907639
哥老官重庆美蛙鱼头(杭州大厦店),￥132,40,重庆火锅,120.1588425,30.2732324
叶马茶楼(六和塔店),￥141,45,浙菜,120.1290964,30.19929572
osteria pelecanus鹈鹕野餐·意面热狗三明治(黄姑山路店),￥45,40,西式快餐,120.1288554,30.27522501
月芽· 璞上餐厅·上天竺店,￥249,50,西餐,120.0930207,30.22948972
老头儿油爆虾·新杭味(湖滨银泰in77D区店),￥115,45,浙菜,120.1587707,30.25569082
满满初牛·炭烧牛肉专门店(国大店),￥69,45,日本料理,120.1581786,30.27177231
澳骄 Aussie Kitchen,￥127,45,西餐,120.1671057,30.24204347
木守西溪溪隐餐厅,￥517,45,浙菜,120.0479633,30.25758145
曼陀林餐厅(西湖虎跑店),￥99,40,创意菜,120.1322694,30.21932298
方老大面,￥45,40,面馆,120.1715493,30.23799211
Carbon魔泰·Thai 泰国餐厅(武林银泰店),￥120,40,泰国菜,120.1593421,30.27082956
VIDA创意西班牙餐厅(嘉里中心店),￥158,45,西餐,120.1581132,30.26225505
瑾颖餐馆(衢江路店),￥58,40,东北菜,120.1992122,30.2340423
娃哈哈同乐舫(庆春店),￥133,40,浙菜,120.1648444,30.26014779
壹品轩·东坡家宴(湖滨店),￥94,40,浙菜,120.1588099,30.25539791
啫卤爷(南山路店),￥128,40,粤菜馆,120.1548129,30.24596631
江南茶语庭院餐厅(九溪店),￥80,40,浙菜,120.1130675,30.21519165
BERNINI,￥200,45,西餐,120.1543236,30.24444454
昊家露·韩国料理&烤肉(转塘店),￥88,45,韩国料理,120.0674049,30.14389861
越英核桃酒(城站火车站店),￥123,40,私房菜,120.1702786,30.24934788
BY AND BY coffee&food,￥84,40,咖啡厅,120.2509398,30.23848054
茶人村·只此江南(西湖店),￥126,45,浙菜,120.1151991,30.2304235
HELLO 27,￥77,40,西餐,120.1232384,30.27783682
隐食·惬意餐厅(城西塘萍路店),￥118,40,私房菜,120.1083535,30.29833234
Primo·丽莫意大利窑烤披萨,￥133,40,比萨,120.2052413,30.21664301
食不食货·台州小馆·宵夜食档(西湖大道店),￥178,40,小龙虾,120.1682455,30.2489101
Amanda’s kitchen 晓曼私厨(新天地店),￥128,45,西餐,120.1749742,30.32497672
初居食屋日式料理(中山北路店),￥113,40,日本料理,120.1646163,30.26506793
天伦里(运河店),￥188,45,浙菜,120.1368897,30.30767397
味德Wade's Bar & Grill(武林店),￥138,40,西餐,120.1214035,30.2774048
月龍吟(平安悦坊店),￥393,45,自助餐,120.2087062,30.25378497
木屋烧烤(武林路店),￥96,40,烤串,120.1550593,30.26186047
西湖国宾馆·红吧,￥184,45,咖啡厅,120.1289689,30.23708431
传家·来自农耕的传承,￥79,40,衢州菜,120.087979,30.28885234
蟹屋(来福士店),￥158,50,日本料理,120.2084278,30.25099884
西湖国宾馆·8号楼咖啡厅,￥281,40,自助餐,120.1289949,30.23732533
犀鸟TOUCAN,￥202,45,牛排,120.2203225,30.12261852
AJIYA味屋日式烧肉(开元路店),￥183,40,日式烧烤/烤肉,120.1577101,30.24990132
湊湊火锅·茶憩(杭州湖滨银泰in77店),￥115,40,火锅,120.1597808,30.25488776
满满初牛·炭烧牛肉专门店(黄龙K-lab店),￥69,45,日本料理,120.1243378,30.27836805
捞王锅物料理(嘉里中心店),￥120,45,猪肚鸡火锅,120.1585044,30.2619248
满满初牛·炭烧牛肉专门店(来福士店),￥69,45,日本料理,120.2083997,30.25165475
天伦里(西湖店),￥238,45,浙菜,120.1058941,30.27096674
东富酒家(黄龙店),￥322,40,潮汕菜,120.1302901,30.27261818
三嚥阁 La Villa Restaurant,"￥1,212",50,创意菜,120.1286577,30.2313483
大头隐食小馆(馒头山社区店),￥137,40,私房菜,120.1648769,30.22013074
青岚,￥601,40,西餐,120.1268328,30.25055955
么哈(西湖兰家湾店),￥67,40,西餐,120.1198416,30.26136861
御牛道烤肉料理(国大城市广场店),￥186,45,日式烧烤/烤肉,120.1581264,30.27206319
御牛道烤肉料理(城西银泰城店),￥173,45,日式烧烤/烤肉,120.1028303,30.30126819
付小姐在成都(杭州总店),￥69,40,川菜馆,120.1640423,30.26947146
杭州柏悦酒店·潮餐厅,￥455,40,西餐,120.2102774,30.25627671
蝴蝶里·粤菜·点心(滨江龙湖店),￥105,40,粤式茶点,120.1973791,30.20285636
兰轩村庄食坊,￥675,40,浙菜,120.0925216,30.23766518
杭小馆·创意杭帮菜(武林夜市店),￥65,40,浙菜,120.1562617,30.26326155
大美乐抓饭(华星路店),￥46,40,新疆菜,120.1120992,30.28133475
老鸭集(西溪龙湖天街店),￥82,45,浙菜,120.0649553,30.29571008
御牛道烤肉料理(滨江天街店),￥170,45,日式烧烤/烤肉,120.2002493,30.20373564
湊湊火锅·茶憩(杭州滨江龙湖天街店),￥132,45,火锅,120.199767,30.20393892
大川日本料理·烧鸟居酒屋(解放路店),￥114,45,日本料理,120.173506,30.25100179
海底捞火锅(铂澜大象城店),￥105,50,四川火锅,120.1196056,30.29114349
宝荣鱼馆·临湖之宴(千岛湖店),￥89,45,浙菜,119.0516565,29.63889014
觀芷隐轩,￥525,50,私房菜,120.166597,30.24473432
舟东奶酸菜鱼·新鲜活鱼·手工薄切(龙湖滨江天街铂金岛店),￥74,45,酸菜鱼/水煮鱼,120.1994293,30.20286647
丁记盐蘸牛肉·新杭菜(河东路店),￥87,40,浙菜,120.1553788,30.29051529
西狐小腰(黄姑山路店),￥95,45,烤串,120.1299708,30.27853818
福昌洞(亚琪店),￥27,40,韩国料理,120.1574866,30.18720364
MOCHA猫咪咖啡(西湖银泰店),￥62,45,咖啡厅,120.1587976,30.24571565
明洞王妃家烤肉(湖滨银泰in77D区店),￥105,40,韩式烤肉,120.1590576,30.25569835
