truth,route,jaccard,exact_match,center_distance,distance_similarity,popularity_similarity,ai_similarity
"['法喜寺', '灵隐寺', '飞来峰', '西湖']","['断桥残雪', '白堤', '孤山', '平湖秋月', '灵隐寺', '飞来峰', '苏堤春晓']",0.2222222222222222,1.75,2.307339751198781,0.26944247480856653,0.1,
"['三潭映月', '江湖汇观亭', '集贤亭', '西泠桥', '净慈寺', '太子湾', '断桥晚霞', '竹林秘境', '新横河桥', '金光穿洞', '白蛇飞渡', '晓霞弄', '西泠印社', '满觉陇', '浴鹄湾', '积义亭']","['断桥残雪', '苏堤春晓', '花港观鱼', '平湖秋月', '曲院风荷', '净慈寺', '积义亭']",0.09523809523809523,0.4375,4.753812083067927,0.00473947213872532,0.034482758620689655,
"['湖滨', '一公园码头', '花港观鱼', '雷峰塔', '曲院风荷', '西泠桥', '白堤', '断桥']","['曲院风荷', '苏堤春晓', '花港观鱼']",0.2222222222222222,0.375,1.2785284105355865,0.13095665945254595,0.008333333333333333,
"['龙翔桥', '湖滨晴雨', '一公园码头', '花港观鱼', '净慈寺', '雷峰塔', '青少年宫']","['断桥残雪', '白堤', '苏堤春晓', '花港观鱼', '一公园码头', '西湖音乐喷泉']",0.18181818181818182,0.8571428571428571,0.30222521591542256,0.1729031758206457,0.0125,
"['龙翔桥', '知味观', '柳浪闻莺', '三潭印月', '花港观鱼', '南屏晚钟', '雷峰夕照', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '武林夜市']","['曲院风荷', '断桥残雪', '白堤', '苏堤春晓', '花港观鱼', '三潭印月', '平湖秋月', '南屏晚钟', '双峰插云', '柳浪闻莺']",0.5714285714285714,0.8333333333333334,0.7238547106873259,0.1323369360668663,0.00625,
"['西湖', '断桥残雪', '曲苑风荷', '平湖秋月', '雷峰塔', '苏堤', '灵隐寺', '法喜寺', '杭州博物馆', '河坊街', '南宋御街', '西溪湿地', '杭州植物园', '小河直街', '拱宸桥', '武林夜市']","['断桥残雪', '白堤', '孤山', '平湖秋月', '苏堤春晓', '花港观鱼', '小河直街']",0.15,0.4375,0.6869621684949936,0.02656154492551029,0.014285714285714285,
"['龙翔桥', '湖滨晴雨', '一公园码头', '花港观鱼', '净慈寺', '雷峰塔', '青少年宫']","['湖滨晴雨', '青少年宫', '断桥残雪', '苏堤春晓', '花港观鱼', '曲院风荷', '雷峰塔']",0.4,1.0,0.7792184485299056,0.15790107455035277,0.012987012987012988,
"['龙翔桥', '知味观', '柳浪闻莺', '三潭印月', '花港观鱼', '南屏晚钟', '雷峰夕照', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '武林夜市']","['苏堤春晓', '花港观鱼', '平湖秋月', '断桥残雪', '白堤', '孤山', '龙翔桥', '岳王庙']",0.3333333333333333,0.6666666666666666,0.5181428763222893,0.7245065198904321,0.006666666666666667,
"['湖滨晴雨', '三潭印月', '花港观鱼', '太子湾', '雷峰塔', '苏堤', '曲苑风荷', '孤山', '白堤', '断桥', '少年宫', '武林夜市']","['太子湾', '曲苑风荷', '苏堤春晓', '断桥残雪', '平湖秋月', '花港观鱼', '雷峰夕照', '南屏晚钟']",0.17647058823529413,0.6666666666666666,0.5410388261717216,0.58647632890223,0.008264462809917356,
"['曲院风荷', '郭庄', '茅家埠', '花港观鱼', '苏堤', '太子湾公园', '雷峰塔', '岳庙', '孤山', '白堤', '断桥', '少年宫']","['断桥残雪', '白堤', '苏堤春晓', '太子湾公园', '花港观鱼', '曲院风荷']",0.2857142857142857,0.5,0.17320662365614778,0.16106575565696093,0.011904761904761904,
"['龙翔桥', '钱王祠', '柳浪闻莺', '三潭印月', '花港观鱼', '雷峰塔', '净慈寺', '苏堤', '岳王庙', '曲院风荷', '平湖秋月', '断桥残雪']","['断桥残雪', '苏堤春晓', '雷峰塔', '花港观鱼', '曲院风荷', '龙翔桥']",0.38461538461538464,0.5,0.12210693869593718,0.7026049156377161,0.007042253521126761,
"['净寺', '九曜山', '太子湾', '花港观鱼', '苏堤', '北山街', '孤山', '断桥']","['曲院风荷', '北山街', '孤山', '杭州植物园', '杨公堤', '郭庄', '浴鹄湾']",0.15384615384615385,0.875,1.1066897276914183,0.2984837258226921,0.02857142857142857,
"['柳浪闻莺', '三潭印月', '花港观鱼', '雷峰夕照', '南屏晚钟', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '双峰插云']","['断桥残雪', '苏堤春晓', '花港观鱼', '双峰插云', '平湖秋月', '柳浪闻莺']",0.6,0.6,0.19053894786363926,0.4663651216587081,0.00909090909090909,
"['曲院风荷', '茅家埠', '花港观鱼', '苏堤', '乌龟潭', '浴鹄湾', '太子湾公园', '岳庙', '孤山']","['断桥残雪', '孤山', '平湖秋月', '花港观鱼', '苏堤春晓']",0.16666666666666666,0.5555555555555556,0.9311960028828764,0.15868956469288206,0.020833333333333332,
"['三潭映月', '江湖汇观亭', '集贤亭', '西泠桥', '净慈寺', '太子湾', '断桥晚霞', '竹林秘境', '新横河桥', '金光穿洞', '白蛇飞渡', '晓霞弄', '西泠印社', '满觉陇', '浴鹄湾', '积义亭']","['断桥残雪', '苏堤春晓', '花港观鱼', '曲院风荷', '南屏晚钟', '西泠印社', '晓霞弄']",0.09523809523809523,0.4375,4.770633805465416,0.004806152786919678,0.03571428571428571,
"['一公园码头', '花港观鱼', '雷峰塔', '曲院风荷', '西泠桥', '白堤', '断桥']","['断桥', '苏堤春晓', '雷峰塔', '花港观鱼', '曲院风荷']",0.5,0.7142857142857143,0.45437549536016864,0.43157740779724596,0.008547008547008548,
